date,velmedia_GijonCampus,racha_GijonCampus,tmed_Gijon,prec_Gijon,sol_Gijon,presMin_Gijon,presMax_Gijon,dir_Gijon,velmedia_Gijon,racha_Gijon
2020-06-03,2.8,9.4,18.666666666666668,7.466666666666666,5.533333333333334,1000.95,1005.05,30.0,3.05,9.85
2022-11-14,1.1,9.7,13.633333333333333,1.8333333333333333,3.35,1001.5333333333332,1011.0,27.5,2.35,12.05
2021-03-26,2.8,11.4,12.566666666666668,1.0666666666666669,5.25,1014.8333333333334,1023.1333333333332,32.0,3.5,11.4
2023-12-07,1.4,,12.9,12.7,0.0,999.55,1007.1,27.0,2.8,22.8
2020-01-30,1.1,3.9,13.633333333333333,1.1,0.4333333333333333,1008.5333333333332,1013.0333333333332,30.5,1.8,7.1000000000000005
2023-08-19,1.9,7.8,22.23333333333333,11.066666666666668,2.55,1008.3333333333334,1015.1333333333332,15.0,2.35,8.5
2022-09-24,1.7,8.3,15.833333333333334,6.366666666666667,3.95,1011.3333333333334,1013.5,29.5,1.95,11.35
2020-03-26,2.2,7.5,9.4,0.0,9.8,1007.9666666666666,1010.5333333333334,5.5,2.05,7.65
2022-11-01,0.8,4.4,14.266666666666666,0.0,9.4,1014.4666666666668,1019.1333333333332,58.5,1.7999999999999998,6.65
2022-08-11,2.5,6.7,22.03333333333333,0.0,9.25,1005.2666666666668,1008.9333333333334,31.5,3.2,8.2
2019-03-08,1.1,5.3,11.333333333333334,0.0666666666666666,3.0666666666666664,1011.4,1020.4,25.5,1.5,7.5
2021-04-06,2.5,9.7,11.033333333333331,0.2333333333333333,0.0333333333333333,1018.3,1020.85,8.0,3.35,9.0
2023-03-19,1.9,7.5,11.4,0.0,8.7,1015.4,1018.4333333333334,63.0,2.05,9.45
2023-02-22,2.5,12.8,9.766666666666667,29.899999999999995,0.0,1012.0333333333332,1014.7,35.0,2.5,12.25
2020-02-23,1.4,5.3,9.633333333333333,0.0,4.3,1024.3333333333333,1027.8666666666666,12.0,1.8,6.800000000000001
2020-07-05,1.9,5.8,18.23333333333333,3.1666666666666665,9.933333333333332,1016.5666666666666,1018.3333333333334,10.0,1.7999999999999998,6.25
2022-11-06,1.9,10.6,15.033333333333331,0.0333333333333333,7.050000000000001,1008.0,1011.5666666666666,63.0,3.1500000000000004,11.15
2019-04-14,1.9,8.1,16.966666666666665,0.0,6.4,1005.3333333333334,1010.8333333333334,54.0,2.6,7.4
2021-09-30,1.4,7.8,16.133333333333333,0.0,10.033333333333331,1016.2333333333332,1023.2333333333336,50.5,2.25,6.949999999999999
2022-03-14,3.9,12.8,10.266666666666666,0.2333333333333333,2.6333333333333333,1005.0333333333332,1009.5666666666666,8.0,4.3,13.9
2023-10-12,1.1,5.3,22.73333333333333,0.0999999999999999,8.8,1007.8333333333334,1012.2666666666668,53.5,2.2,7.1
2023-07-04,3.6,10.3,21.3,0.0,9.85,1012.3666666666668,1014.8333333333334,30.0,3.75,11.0
2019-08-01,1.9,,19.75,0.7333333333333333,2.9,1007.65,1010.45,7.0,2.75,8.3
2020-12-01,0.6,3.6,9.933333333333332,3.333333333333333,2.8666666666666667,1017.3333333333334,1021.6333333333332,25.5,1.4,5.15
2022-06-27,1.9,6.9,16.2,0.0,6.5,1013.4333333333334,1018.0,29.0,2.2,7.050000000000001
2020-04-18,,,13.9,2.533333333333333,7.15,1007.3333333333334,1009.8,99.0,3.3,7.8
2022-11-30,1.4,9.4,11.0,0.0,2.45,1007.5333333333332,1012.1333333333332,7.0,2.25,9.3
2022-06-15,1.1,7.2,21.03333333333333,1.2,10.8,1008.8,1014.8333333333334,8.5,1.8,8.45
2021-12-17,0.3,5.3,8.233333333333334,0.0,3.75,1018.6666666666666,1021.0666666666666,99.0,1.4,6.55
2021-07-13,3.6,9.2,17.3,0.3,4.833333333333333,1016.7,1018.9333333333334,30.0,4.3,9.75
2020-02-18,1.7,6.7,9.1,0.0,8.966666666666667,1027.3,1029.3666666666666,29.0,2.95,7.800000000000001
2019-02-24,1.4,5.0,11.466666666666669,0.0,9.733333333333333,1022.1,1024.5,12.5,2.35,7.1
2019-03-14,3.6,10.6,11.033333333333331,0.0,4.266666666666667,1024.7333333333331,1028.5,28.5,4.85,11.7
2020-06-16,,,16.3,1.85,4.466666666666666,1012.9333333333334,1014.9333333333334,30.0,5.6,13.3
2023-09-09,2.5,8.1,21.2,0.9666666666666665,5.550000000000001,1005.6666666666666,1010.0666666666666,11.5,2.5,10.45
2023-10-03,1.9,,18.9,4.5,0.0,1015.05,1021.9,99.0,2.5,9.7
2021-05-04,2.8,10.8,12.533333333333331,0.7333333333333334,10.033333333333331,1009.9666666666668,1014.2666666666664,34.0,3.6,10.8
2023-06-16,2.2,5.8,20.266666666666666,0.2666666666666666,8.95,1008.9,1012.8333333333334,15.5,2.35,6.5
2020-11-12,1.4,6.1,16.066666666666666,0.0,6.066666666666666,1010.4,1014.7,55.0,1.8,5.949999999999999
2022-07-01,2.5,8.9,16.366666666666664,0.0,14.1,1012.6,1014.1666666666666,52.5,3.2,9.05
2022-05-06,2.2,10.6,13.666666666666666,0.0,12.3,1019.6333333333332,1021.7333333333332,5.0,3.45,11.0
2021-06-29,3.3,9.2,16.333333333333332,0.0,8.149999999999999,1014.2666666666668,1015.3,66.0,3.45,9.2
2023-02-19,2.5,8.6,12.066666666666668,0.0,0.55,1020.3666666666668,1024.1666666666667,7.0,2.9,9.45
2023-12-25,1.4,,11.8,0.0,8.5,1013.6,1016.3,19.0,1.8,9.7
